STATISTIČNA REGIJA,STAROST,SPOL,LETO,PLAČA,MERITVE,DATA
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1500
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1498
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1543
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1552
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1592
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1629
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1692
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1759
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1879
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,2028
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2113
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1313
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1362
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1398
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1449
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1476
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1476
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1514
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1535
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1571
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1613
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1667
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1733
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1817
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,1948
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2065
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1427
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1477
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1538
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1582
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1601
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1598
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1637
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1652
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1686
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1722
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1778
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1851
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1942
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,2079
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2193
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1320
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1353
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1425
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1467
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1489
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1492
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1533
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1548
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1574
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1616
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1667
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1726
